Mon 00:00:00,R1,R2,
Mon 00:00:00,R2,R1,
Mon 00:00:00,R1,R4,
Mon 00:00:00,R4,R1,
Mon 00:00:00,R2,R3,
Mon 00:00:00,R3,R2,
Mon 00:00:00,R2,R4,
Mon 00:00:00,R4,R2,
Mon 00:00:00,R2,R9,
Mon 00:00:00,R9,R2,
Mon 00:00:00,R3,R4,
Mon 00:00:00,R4,R3,
Mon 00:00:00,R3,R7,
Mon 00:00:00,R7,R3,
Mon 00:00:00,R4,R6,
Mon 00:00:00,R6,R4,
Mon 00:00:00,R6,R7,
Mon 00:00:00,R7,R6,
Mon 00:00:00,R6,R8,
Mon 00:00:00,R8,R6,
Mon 00:00:00,R7,R9,
Mon 00:00:00,R9,R7,
Mon 00:00:00,R8,R10,
Mon 00:00:00,R10,R8,
Mon 00:00:00,R1,R7,R4,R6,
Mon 00:00:00,R3,R2,R7,R9,
Mon 00:00:00,R6,R8,R10,R8,
Mon 01:00:00,R1,R2,
Mon 01:00:00,R2,R1,
Mon 01:00:00,R1,R4,
Mon 01:00:00,R4,R1,
Mon 01:00:00,R2,R3,
Mon 01:00:00,R3,R2,
Mon 01:00:00,R2,R4,
Mon 01:00:00,R4,R2,
Mon 01:00:00,R2,R9,
Mon 01:00:00,R9,R2,
Mon 01:00:00,R3,R4,
Mon 01:00:00,R4,R3,
Mon 01:00:00,R3,R7,
Mon 01:00:00,R7,R3,
Mon 01:00:00,R4,R6,
Mon 01:00:00,R6,R4,
Mon 01:00:00,R6,R7,
Mon 01:00:00,R7,R6,
Mon 01:00:00,R6,R8,
Mon 01:00:00,R8,R6,
Mon 01:00:00,R7,R9,
Mon 01:00:00,R9,R7,
Mon 01:00:00,R8,R10,
Mon 01:00:00,R10,R8,
Mon 01:00:00,R1,R4,R6,R7,
Mon 01:00:00,R3,R7,R9,R2,
Mon 01:00:00,R6,R8,R10,R8,
Mon 02:00:00,R1,R2,
Mon 02:00:00,R2,R1,
Mon 02:00:00,R1,R4,
Mon 02:00:00,R4,R1,
Mon 02:00:00,R2,R3,
Mon 02:00:00,R3,R2,
Mon 02:00:00,R2,R4,
Mon 02:00:00,R4,R2,
Mon 02:00:00,R2,R9,
Mon 02:00:00,R9,R2,
Mon 02:00:00,R3,R4,
Mon 02:00:00,R4,R3,
Mon 02:00:00,R3,R7,
Mon 02:00:00,R7,R3,
Mon 02:00:00,R4,R6,
Mon 02:00:00,R6,R4,
Mon 02:00:00,R6,R7,
Mon 02:00:00,R7,R6,
Mon 02:00:00,R6,R8,
Mon 02:00:00,R8,R6,
Mon 02:00:00,R7,R9,
Mon 02:00:00,R9,R7,
Mon 02:00:00,R8,R10,
Mon 02:00:00,R10,R8,
Mon 02:00:00,R1,R4,R6,R7,
Mon 02:00:00,R3,R7,R9,R2,
Mon 02:00:00,R6,R8,R10,R8,
Mon 03:00:00,R1,R2,
Mon 03:00:00,R2,R1,
Mon 03:00:00,R1,R4,
Mon 03:00:00,R4,R1,
Mon 03:00:00,R2,R3,
Mon 03:00:00,R3,R2,
Mon 03:00:00,R2,R4,
Mon 03:00:00,R4,R2,
Mon 03:00:00,R2,R9,
Mon 03:00:00,R9,R2,
Mon 03:00:00,R3,R4,
Mon 03:00:00,R4,R3,
Mon 03:00:00,R3,R7,
Mon 03:00:00,R7,R3,
Mon 03:00:00,R4,R6,
Mon 03:00:00,R6,R4,
Mon 03:00:00,R6,R7,
Mon 03:00:00,R7,R6,
Mon 03:00:00,R6,R8,
Mon 03:00:00,R8,R6,
Mon 03:00:00,R7,R9,
Mon 03:00:00,R9,R7,
Mon 03:00:00,R8,R10,
Mon 03:00:00,R10,R8,
Mon 03:00:00,R1,R4,R6,
Mon 03:00:00,R3,R7,R9,R2,
Mon 03:00:00,R6,R8,R10,R8,
